yield_article_title,yield_paper_id,yield_data_source,match_method,match_score,matched_ghg_paper_id,matched_ghg_reference,matched_ghg_doi
"Production, Decomposition Of Residues And Yield Of Maize And Soybeans Grown On Cover Crops",289.0,Dataset Two,no_match_in_GHG_table,0.324,,,
Response Of Weeds And Rice Yield To Italian Ryegrass As A Cover Crop And Planting Density In Organic Farming,304.0,Dataset Two,no_match_in_GHG_table,0.375,,,
Short-Term Corn Yield Response Associated With Nitrogen Dynamics From Fall-Seeded Cover Crops Under No-Till Dryland Conditions,312.0,Dataset Two,no_match_in_GHG_table,0.383,,,
Single-Versus Double-Species Cover Crop Effects On Soil Health And Yield In Mississippi Soybean Fields,316.0,Dataset Two,no_match_in_GHG_table,0.398,,,
Soil Physical Properties and Grain Yield Influenced by Cover Crops and Crop Rotation,327.0,Dataset Two,no_match_in_GHG_table,0.388,,,
Soil Physical Properties And Soybean Yield As Influenced By Long-Term Tillage Systems And Cover Cropping In The Midsouth USA,329.0,Dataset Two,no_match_in_GHG_table,0.403,,,
"Soil Profile Carbon, Nitrogen, And Crop Yields Affected By Cover Crops In Semiarid Regions",330.0,Dataset Two,no_match_in_GHG_table,0.389,,,
"Soil Water Storage, Winter Wheat Yield, And Water-Use Efficiency With Cover Crops And Nitrogen Fertilization",332.0,Dataset Two,no_match_in_GHG_table,0.38,,,
Split-Nitrogen Application With Cover Cropping Reduces Subsurface Nitrate Losses While Maintaining Corn Yields,336.0,Dataset Two,no_match_in_GHG_table,0.362,,,
"Spring-Planted Cover Crop Effects On Weed Suppression, Crop Yield, And Net Returns In No-Tillage Dryland Crop Production",338.0,Dataset Two,no_match_in_GHG_table,0.382,,,
The Combined Influence Of Cover Crops And Manure On Maize And Soybean Yield In A Kentucky Silt Loam Soil,345.0,Dataset Two,no_match_in_GHG_table,0.369,,,
The Effect Of Cover Crops On The Yield Of Spring Barley In Estonia,356.0,Dataset Two,no_match_in_GHG_table,0.441,,,
"Time Interval Between Cover Crop Termination And Planting Influences Corn Seedling Disease, Plant Growth, And Yield",369.0,Dataset Two,no_match_in_GHG_table,0.375,,,
"Using Cover Crops In Headlands Of Organic Grain Farms: Effects On Soil Properties, Weeds And Crop Yields",376.0,Dataset Two,no_match_in_GHG_table,0.364,,,
Winter Cover Crops Affect Monoculture Maize Yield And Nitrogen Leaching Under Irrigated Mediterranean Conditions,384.0,Dataset Two,no_match_in_GHG_table,0.331,,,
Winter cover crops on weed infestation and maize yield ,390.0,Dataset Two,no_match_in_GHG_table,0.362,,,
Winter Cover Crops Effects On Soil Properties And Sweet Corn Yield In Semi-Arid Irrigated Systems,387.0,Dataset Two,no_match_in_GHG_table,0.414,,,
Contributions of individual cover crop species to rainfed maize production in semi-arid cropping systems,,Dataset Two,no_match_in_GHG_table,0.458,,,
Implications of cover crop planting and termination timing on rainfed maize production in semi-arid cropping systems,,Dataset Two,no_match_in_GHG_table,0.408,,,
Assessing two winter cover crops for weed control in reduced-tillage maize establishment,,Dataset One,no_match_in_GHG_table,0.396,,,
Cover cropping to reduce nitrate loss through subsurface drainage in the northern US Corn Belt,,Dataset One,no_match_in_GHG_table,0.348,,,
Cover crops as a tool to reduce reliance on intensive tillage and nitrogen fertilization in conventional arable cropping systems,,Dataset One,no_match_in_GHG_table,0.365,,,
"Effect of interseeding cover crops and fertilization on weed suppression under an organic and rotational cropping system: 1. Stability of weed suppression over years and main crops of potato, maize and soybean",,Dataset One,no_match_in_GHG_table,0.352,,,
Effects of Long-Term Rotation and Tillage Practice on Grain Yield,,Dataset One,no_match_in_GHG_table,0.335,,,
Effects of tillage and fallow period management on soil physical behaviour and maize development,,Dataset One,no_match_in_GHG_table,0.317,,,
Establishing winter annual cover crops by interseeding into Maize and Soybean,,Dataset One,no_match_in_GHG_table,0.374,,,
Establishment and Impact of Cover Crops Intersown into Corn ,,Dataset One,no_match_in_GHG_table,0.353,,,
Integration of Cereal Cover Crops in Ridge-tillage Corn (Zea mays) Production,,Dataset One,no_match_in_GHG_table,0.337,,,
Introducing mungbean as a preceding crop to enhance nitrogen uptake and yield of rainfed rice in the north-east of Thailand,,Dataset One,no_match_in_GHG_table,0.373,,,
Legume cover crop management on nitrogen dynamics and yield in grain corn systems,,Dataset One,no_match_in_GHG_table,0.38,,,
Long-term effect of cover crop on rainwater balance components and use efficiency in the no-tilled and rainfed corn and soybean rotation system,,Dataset One,no_match_in_GHG_table,0.397,,,
Maize Performances as Influenced by Winter Cover Crop Green Manuring,,Dataset One,no_match_in_GHG_table,0.421,,,
Nitrate-Nitrogen Losses through Subsurface Drainage under Various Agricultural Land Covers,,Dataset One,no_match_in_GHG_table,0.333,,,
Nitrogen use efficiency and fertiliser fate in a long-term experiment with winter cover crops,,Dataset One,no_match_in_GHG_table,0.335,,,
Radish and annual ryegrass alter corn yield response to nitrogen rate,,Dataset One,no_match_in_GHG_table,0.315,,,
"Replacing bare fallow with cover crops in a maize cropping system: Yield, N uptake and fertiliser fate",,Dataset One,no_match_in_GHG_table,0.44,,,
Responses of Winter Wheat Production to Green Manure and Nitrogen Fertilizer on the Loess Plateau,,Dataset One,no_match_in_GHG_table,0.36,,,
Rye Cover Crop Effects on Soil Quality in No-Till Corn Silage–Soybean Cropping Systems,,Dataset One,no_match_in_GHG_table,0.392,,,
Self-Seeded Cereal Cover Crop Effects on Interspecific Competition with Corn,,Dataset One,no_match_in_GHG_table,0.387,,,
Soil Water Balance and Water Use Efficiency of Dryland Wheat in Different Precipitation Years in Response to Green Manure Approach,,Dataset One,no_match_in_GHG_table,0.367,,,
"Summer Cover Crops Fix Nitrogen, Increase Crop Yield, and Improve Soil–Crop Relationships",,Dataset One,no_match_in_GHG_table,0.373,,,
Tillage and Cover Cropping Effects on Soil Properties and Crop Production in Illinois,,Dataset One,no_match_in_GHG_table,0.521,,,
Use of N immobilization to tighten the N cycle in conventional agroecosystems,,Dataset One,no_match_in_GHG_table,0.404,,,
"Weed Populations, Sweet Corn Yield, and Economics Following Fall Cover Crops",,Dataset One,no_match_in_GHG_table,0.327,,,
Winter cover crop: the effects of grass–clover mixture proportion and biomass management on maize and the apparent residual N in the soil,,Dataset One,no_match_in_GHG_table,0.355,,,
Winter cover crops effect on soil moisture and soybean growth and yield under different tillage systems,,Dataset One,no_match_in_GHG_table,0.405,,,
Yield losses of soybean and maize by competition with interseeded cover crops and weeds in organic-based cropping systems,,Dataset One,no_match_in_GHG_table,0.43,,,
